Author,Venue,Submissions
Mohammad Alizadeh,IMC,0
Mohammad Alizadeh,CoNext,1
Mohammad Alizadeh,ICN,0
Mohammad Alizadeh,E-Energy,0
Mohammad Alizadeh,SenSys,0
Mohammad Alizadeh,SoSR,0
Mohammad Alizadeh,LANC,0
Mohammad Alizadeh,HotNets,0
Mohammad Alizadeh,ANRW,0
Mohammad Alizadeh,ANCS,0
Mark Crovella,SIGCOMM,4
Mark Crovella,IMC,12
Mark Crovella,CoNext,1
Mark Crovella,ICN,0
Mark Crovella,E-Energy,0
Mark Crovella,SenSys,0
Mark Crovella,SoSR,0
Mark Crovella,LANC,0
Mark Crovella,HotNets,0
Mark Crovella,ANRW,0
Mark Crovella,ANCS,0
Fabián E. Bustamante,SIGCOMM,10
Fabián E. Bustamante,IMC,5
Fabián E. Bustamante,CoNext,2
Fabián E. Bustamante,ICN,0
Fabián E. Bustamante,E-Energy,0
Fabián E. Bustamante,SenSys,0
Fabián E. Bustamante,SoSR,0
Fabián E. Bustamante,LANC,0
Fabián E. Bustamante,HotNets,0
Fabián E. Bustamante,ANRW,0
Fabián E. Bustamante,ANCS,0
Matthew J. Luckie,SIGCOMM,2
Matthew J. Luckie,IMC,11
Matthew J. Luckie,CoNext,4
Matthew J. Luckie,ICN,0
Matthew J. Luckie,E-Energy,0
Matthew J. Luckie,SenSys,0
Matthew J. Luckie,SoSR,0
Matthew J. Luckie,LANC,0
Matthew J. Luckie,HotNets,0
Matthew J. Luckie,ANRW,0
Matthew J. Luckie,ANCS,0
Hermann de Meer,SIGCOMM,0
Hermann de Meer,IMC,0
Hermann de Meer,CoNext,0
Hermann de Meer,ICN,0
Hermann de Meer,E-Energy,17
Hermann de Meer,SenSys,0
Hermann de Meer,SoSR,0
Hermann de Meer,LANC,0
Hermann de Meer,HotNets,0
Hermann de Meer,ANRW,0
Hermann de Meer,ANCS,0
Tarek F. Abdelzaher,SIGCOMM,0
Tarek F. Abdelzaher,IMC,0
Tarek F. Abdelzaher,CoNext,0
Tarek F. Abdelzaher,ICN,0
Tarek F. Abdelzaher,E-Energy,0
Tarek F. Abdelzaher,SenSys,17
Tarek F. Abdelzaher,SoSR,0
Tarek F. Abdelzaher,LANC,0
Tarek F. Abdelzaher,HotNets,0
Tarek F. Abdelzaher,ANRW,0
Tarek F. Abdelzaher,ANCS,0
Christo Wilson,SIGCOMM,1
Christo Wilson,IMC,15
Christo Wilson,CoNext,0
Christo Wilson,ICN,0
Christo Wilson,E-Energy,0
Christo Wilson,SenSys,0
Christo Wilson,SoSR,0
Christo Wilson,LANC,0
Christo Wilson,HotNets,0
Christo Wilson,ANRW,0
Christo Wilson,ANCS,0
Balachander Krishnamurthy,SIGCOMM,3
Balachander Krishnamurthy,IMC,13
